"samples" "sex" "species" "Site.ID" "Lat" "Long" "Site.Name" "Country" "Province" "Ocean.drainage" "Country_Ocean" "site.sub" "site.sub.county" "site.sub.county.drain" "pca1" "pca2" "pca3" "pca4" "pca5" "pca6" "sample" "assign"
"31" "MO0110" "M" "americana" "MO01" 37.44 -90.96 "West Fork Black R" "United States" "Missouri" "Gulf" "Gulf_United States" "MO" "MO_United States" "MO_United States_Gulf" -13.0135 9.25278 0.238302 -0.258208 6.38269 0.980118 "MO0110" "1"
"32" "MO0111" "F" "americana" "MO01" 37.44 -90.96 "West Fork Black R" "United States" "Missouri" "Gulf" "Gulf_United States" "MO" "MO_United States" "MO_United States_Gulf" -12.454 6.70146 0.0260586 -0.0260829 0.880976 0.293877 "MO0111" "1"
"33" "MO0112" "M" "americana" "MO01" 37.44 -90.96 "West Fork Black R" "United States" "Missouri" "Gulf" "Gulf_United States" "MO" "MO_United States" "MO_United States_Gulf" -13.8481 9.50363 0.469034 -0.301019 6.80908 1.25614 "MO0112" "1"
"34" "MO0213" "F" "americana" "MO02" 36.95 -90.99 "Current River" "United States" "Missouri" "Gulf" "Gulf_United States" "MO" "MO_United States" "MO_United States_Gulf" -13.1743 9.04806 0.326464 -0.251609 4.77797 0.76375 "MO0213" "1"
"35" "MO0214" "M" "americana" "MO02" 36.95 -90.99 "Current River" "United States" "Missouri" "Gulf" "Gulf_United States" "MO" "MO_United States" "MO_United States_Gulf" -13.2897 8.10004 0.332365 0.104704 3.82743 0.583122 "MO0214" "1"
"36" "MS0222" "M" "americana" "MS01" 32.52 -90.74 "Ballground Creek" "United States" "Mississippi" "Gulf" "Gulf_United States" "MS" "MS_United States" "MS_United States_Gulf" -12.1663 7.52778 0.305203 0.0950376 -12.8846 -2.09559 "MS0222" "1"
"37" "NMSCaAM03" "F" "americana" "NMSC01" 15.77 -93.3 "" "Mexico" "Chiapas" "Pacific" "Pacific_Mexico" "NMSC" "NMSC_Mexico" "NMSC_Mexico_Pacific" 43.3973 3.80419 -8.86998 -0.188445 -2.4405 9.47141 "NMSCaAM03" "2"
"38" "OK0102" "F" "americana" "OK01" 35.24 -98.55 "Cobb Creek" "United States" "Oklahoma" "Gulf" "Gulf_United States" "OK" "OK_United States" "OK_United States_Gulf" -12.9687 8.77733 0.2427 0.248797 7.77664 1.43925 "OK0102" "1"
"39" "OK0104" "F" "americana" "OK01" 35.24 -98.55 "Cobb Creek" "United States" "Oklahoma" "Gulf" "Gulf_United States" "OK" "OK_United States" "OK_United States_Gulf" -13.1833 9.28828 0.312549 0.123143 8.76709 1.40307 "OK0104" "1"
"40" "OK0105" "M" "americana" "OK01" 35.24 -98.55 "Cobb Creek" "United States" "Oklahoma" "Gulf" "Gulf_United States" "OK" "OK_United States" "OK_United States_Gulf" -13.4491 9.51966 0.150212 -0.167231 7.87837 1.26203 "OK0105" "1"
"41" "RG0101" "m" "americana" "RG01" 18.4116 -95.1719 "Rio Grande Catemaco" "Mexico" "Veracruz" "" NA "RG" "RG_Mexico" "RG_Mexico_" 55.2373 7.29318 43.185 0.377717 -0.772683 1.62933 "RG0101" "2"
"42" "RG0103" "f" "americana" "RG01" 18.4116 -95.1719 "Rio Grande Catemaco" "Mexico" "Veracruz" "" NA "RG" "RG_Mexico" "RG_Mexico_" 55.6431 6.97298 43.0408 0.0996325 -0.397614 1.71933 "RG0103" "2"
"43" "SJ01.20" "M" "americana" "SJ01_US" 30.21 -95.4 "San Jacinto River" "United States" "Texas" "Gulf" "Gulf_United States" "SJ_US" "SJ_US_United States" "SJ_US_United States_Gulf" -13.5238 9.57034 0.110827 -0.300525 7.95095 1.37431 "SJ01.20" "1"
"44" "STDMaAM01" "M" "americana" "STDM01" 15.82 -96.69 "" "Mexico" "Oaxaca" "Pacific" "Pacific_Mexico" "STDM" "STDM_Mexico" "STDM_Mexico_Pacific" -3.05394 -33.8393 0.456961 -9.42129 -0.32379 1.37716 "STDMaAM01" "3"
"45" "STDMaAM02" "M" "americana" "STDM01" 15.82 -96.69 "" "Mexico" "Oaxaca" "Pacific" "Pacific_Mexico" "STDM" "STDM_Mexico" "STDM_Mexico_Pacific" -3.92865 -35.7156 0.921352 -6.65099 0.749375 0.287827 "STDMaAM02" "3"
"46" "TN0119" "M" "americana" "TN01" 35.03 -89.35 "Wolf River" "United States" "Tennessee" "Gulf" "Gulf_United States" "TN" "TN_United States" "TN_United States_Gulf" -11.8869 7.84071 0.0828645 -0.364143 -8.60675 -1.49677 "TN0119" "1"
"47" "TN0120" "M" "americana" "TN01" 35.03 -89.35 "Wolf River" "United States" "Tennessee" "Gulf" "Gulf_United States" "TN" "TN_United States" "TN_United States_Gulf" -12.9473 9.17808 -0.0551551 -0.226225 -9.48634 -1.60452 "TN0120" "1"
"48" "TN0413" "F" "americana" "TN04" 36.55 -87.14 "Red River and Sulfur Fork" "United States" "Tennessee" "Gulf" "Gulf_United States" "TN" "TN_United States" "TN_United States_Gulf" -11.3218 5.72216 -0.11762 0.27976 -15.678 -2.38807 "TN0413" "1"
"49" "TN0414" "M" "americana" "TN04" 36.55 -87.14 "Red River and Sulfur Fork" "United States" "Tennessee" "Gulf" "Gulf_United States" "TN" "TN_United States" "TN_United States_Gulf" -12.6199 8.97138 -0.0128162 -0.172721 -10.9177 -1.78151 "TN0414" "1"
"50" "TULIaAM01" "M" "americana" "TULI01" 15.89 -93.5 "" "Mexico" "Chiapas" "Pacific" "Pacific_Mexico" "TULI" "TULI_Mexico" "TULI_Mexico_Pacific" 52.2448 5.50162 -15.1587 -1.83331 -0.0818997 15.3285 "TULIaAM01" "2"
"51" "TULIaAM02" "F" "americana" "TULI01" 15.89 -93.5 "" "Mexico" "Chiapas" "Pacific" "Pacific_Mexico" "TULI" "TULI_Mexico" "TULI_Mexico_Pacific" 52.7872 5.37604 -10.765 -0.286798 -1.99262 16.5911 "TULIaAM02" "2"
"52" "TXRSaAM01" "F" "americana" "TXRS01" 16.65 -93.16 "" "Mexico" "Chiapas" "Gulf" "Gulf_Mexico" "TXRS" "TXRS_Mexico" "TXRS_Mexico_Gulf" -3.96871 -36.1471 0.55506 -13.1906 0.19553 0.278486 "TXRSaAM01" "3"
"53" "TXRSaAM04" "M" "americana" "TXRS01" 16.65 -93.16 "" "Mexico" "Chiapas" "Gulf" "Gulf_Mexico" "TXRS" "TXRS_Mexico" "TXRS_Mexico_Gulf" -3.91358 -34.857 0.533928 -10.6517 0.0389891 0.242446 "TXRSaAM04" "3"
"54" "TXRSbAM03" "M" "americana" "TXRS02" 16.65 -93.16 "" "Mexico" "Chiapas" "Gulf" "Gulf_Mexico" "TXRS" "TXRS_Mexico" "TXRS_Mexico_Gulf" -4.07051 -33.2125 0.751869 -11.3798 0.464883 0.153159 "TXRSbAM03" "3"
"55" "TXRSbAM04" "F" "americana" "TXRS02" 16.65 -93.16 "" "Mexico" "Chiapas" "Gulf" "Gulf_Mexico" "TXRS" "TXRS_Mexico" "TXRS_Mexico_Gulf" 47.7084 4.59478 -9.7505 -0.435052 1.10436 0.690528 "TXRSbAM04" "2"
"56" "WCKC14173" "M" "americana" "WCKC1" 31.05 -90.17 "Kirklin Creek" "United States" "Mississippi" "Gulf" "Gulf_United States" "WCKC" "WCKC_United States" "WCKC_United States_Gulf" -11.9478 8.37581 -0.0629201 -0.479341 -11.9704 -2.16211 "WCKC14173" "1"
"57" "WCKC14176" "M" "americana" "WCKC1" 31.05 -90.17 "Kirklin Creek" "United States" "Mississippi" "Gulf" "Gulf_United States" "WCKC" "WCKC_United States" "WCKC_United States_Gulf" -12.2499 8.53494 -0.155427 -0.0225455 -11.0881 -1.75654 "WCKC14176" "1"
