"samples" "sex" "species" "Site.ID" "Lat" "Long" "Site.Name" "Country" "Province" "Ocean.drainage" "Country_Ocean" "site.sub" "site.sub.county" "site.sub.county.drain" "pca1" "pca2" "pca3" "pca4" "pca5" "pca6" "assign"
"14" "ACTPa08" "M" "titia" "ACTP01" 15.29 -92.67 "" "Mexico" "Chiapas" "Pacific" "Pacific_Mexico" "ACTP" "ACTP_Mexico" "ACTP_Mexico_Pacific" -64.7202 -2.51329 -14.2686 -22.4885 -0.0167834 0.179884 "3"
"15" "AR0101" "M" "titia" "AR01" 33.9 -92.23 "" "United States" "Arkansas" "Gulf" "Gulf_United States" "AR" "AR_United States" "AR_United States_Gulf" 18.766 -18.0018 -0.0985305 -0.0962237 9.70207 0.366004 "1"
"16" "AR0102" "M" "titia" "AR01" 33.9 -92.23 "" "United States" "Arkansas" "Gulf" "Gulf_United States" "AR" "AR_United States" "AR_United States_Gulf" 18.6591 -17.9171 -0.0454657 -0.158697 9.96197 -0.0498746 "1"
"17" "AR0103" "M" "titia" "AR01" 33.9 -92.23 "" "United States" "Arkansas" "Gulf" "Gulf_United States" "AR" "AR_United States" "AR_United States_Gulf" 17.2181 -17.1699 -0.278661 0.00183947 9.54682 0.01937 "1"
"18" "AR0104" "M" "titia" "AR01" 33.9 -92.23 "" "United States" "Arkansas" "Gulf" "Gulf_United States" "AR" "AR_United States" "AR_United States_Gulf" 19.2075 -18.366 0.0488624 -0.244211 7.25722 0.275444 "1"
"19" "AR0207" "M" "titia" "AR02" 33.7 -92.03 "" "United States" "Arkansas" "Gulf" "Gulf_United States" "AR" "AR_United States" "AR_United States_Gulf" 19.2536 -18.0151 -0.0744933 -0.139339 11.2784 -0.0977985 "1"
"20" "AR0208" "M" "titia" "AR02" 33.7 -92.03 "" "United States" "Arkansas" "Gulf" "Gulf_United States" "AR" "AR_United States" "AR_United States_Gulf" 15.863 -15.8652 -0.228393 0.0427752 9.20565 -0.124821 "1"
"21" "AR0209" "M" "titia" "AR02" 33.7 -92.03 "" "United States" "Arkansas" "Gulf" "Gulf_United States" "AR" "AR_United States" "AR_United States_Gulf" 19.3587 -18.4841 -0.0167245 -0.349033 12.008 -0.0597792 "1"
"22" "AR0210" "M" "titia" "AR02" 33.7 -92.03 "" "United States" "Arkansas" "Gulf" "Gulf_United States" "AR" "AR_United States" "AR_United States_Gulf" 18.7872 -18.2484 -0.2924 -0.212273 9.06319 0.270761 "1"
"23" "ARa02" "M" "titia" "AR" 18.95 -103.95 "Armería" "Mexico" "Colima" "Pacific" "Pacific_Mexico" "AR" "AR_Mexico" "AR_Mexico_Pacific" -55.5041 -2.09375 -16.5618 24.3694 -0.0943532 0.191649 "3"
"24" "ARa04" "F" "titia" "AR" 18.95 -103.95 "Armería" "Mexico" "Colima" "Pacific" "Pacific_Mexico" "AR" "AR_Mexico" "AR_Mexico_Pacific" -63.1514 -2.81943 -18.1942 27.5256 -0.057843 0.03401 "3"
"25" "ARa05" "M" "titia" "AR" 18.95 -103.95 "Armería" "Mexico" "Colima" "Pacific" "Pacific_Mexico" "AR" "AR_Mexico" "AR_Mexico_Pacific" -51.9426 -1.8559 -17.0918 27.4423 -0.117292 -0.278642 "3"
"26" "BALB01" "M" "titia" "BALB" 10.05 -83.33 "Lower Barbilla" "Costa Rica" "Limón" "Carribbean" "Carribbean_Costa Rica" "BALB" "BALB_Costa Rica" "BALB_Costa Rica_Carribbean" 14.8883 29.1243 -0.199542 -0.266258 0.23383 33.4452 "2"
"27" "BALB02" "M" "titia" "BALB" 10.05 -83.33 "Lower Barbilla" "Costa Rica" "Limón" "Carribbean" "Carribbean_Costa Rica" "BALB" "BALB_Costa Rica" "BALB_Costa Rica_Carribbean" 15.3803 29.504 -0.304916 -0.0518153 -0.867825 30.528 "2"
"28" "BALB06" "M" "titia" "BALB" 10.05 -83.33 "Lower Barbilla" "Costa Rica" "Limón" "Carribbean" "Carribbean_Costa Rica" "BALB" "BALB_Costa Rica" "BALB_Costa Rica_Carribbean" 14.0469 27.8173 -0.128294 -0.0778153 0.232115 29.0354 "2"
"29" "BAMB03" "M" "titia" "BAMB" 10.06 -83.37 "Middle Barbilla" "Costa Rica" "Limón" "Carribbean" "Carribbean_Costa Rica" "BAMB" "BAMB_Costa Rica" "BAMB_Costa Rica_Carribbean" 15.0495 26.9429 -0.16846 0.0192735 -0.531308 28.9405 "2"
"30" "BAMB06" "M" "titia" "BAMB" 10.06 -83.37 "" "Costa Rica" "Limón" "Carribbean" "Carribbean_Costa Rica" "BAMB" "BAMB_Costa Rica" "BAMB_Costa Rica_Carribbean" 14.7838 29.6806 -0.198634 -0.143633 -0.534193 28.1415 "2"
"31" "BZ1509" "M" "titia" "BZ15" 17.01 -88.48 "North Stann Creek from Hummingbird Highway" "Belize" "" "Carribbean" "Carribbean_Belize" "BZ15" "BZ15_Belize" "BZ15_Belize_Carribbean" 14.529 28.5354 0.267612 0.213918 0.453478 -3.93684 "2"
"32" "BZ1513" "M" "titia" "BZ15" 17.01 -88.48 "North Stann Creek from Hummingbird Highway" "Belize" "" "Carribbean" "Carribbean_Belize" "BZ15" "BZ15_Belize" "BZ15_Belize_Carribbean" 13.7659 27.4385 0.0364661 -0.158908 -0.361833 -3.43411 "2"
"33" "BZ2105" "M" "titia" "BZ21" 17.17 -89.11 "Mopan River in Bullet Trees Falls" "Belize" "" "Carribbean" "Carribbean_Belize" "BZ21" "BZ21_Belize" "BZ21_Belize_Carribbean" 12.3798 25.2118 0.000771715 -0.0518324 -1.22909 -6.65307 "2"
"34" "BZ2106" "M" "titia" "BZ21" 17.17 -89.11 "Mopan River in Bullet Trees Falls" "Belize" "" "Carribbean" "Carribbean_Belize" "BZ21" "BZ21_Belize" "BZ21_Belize_Carribbean" 14.0999 28.6762 0.0785444 -0.150735 -1.13288 -5.40522 "2"
"35" "BZ2303" "M" "titia" "BZ23" 17.15 -88.71 "Caves Branch from Hummingbird Highway" "Belize" "" "Carribbean" "Carribbean_Belize" "BZ23" "BZ23_Belize" "BZ23_Belize_Carribbean" 13.288 24.8512 -0.170578 -0.214349 -1.22267 -4.07474 "2"
"36" "BZ2601" "M" "titia" "BZ26" 17.26 -88.79 "Roaring Creek in Guanacaste National Park" "Belize" "" "Carribbean" "Carribbean_Belize" "BZ26" "BZ26_Belize" "BZ26_Belize_Carribbean" 14.563 28.8987 0.205755 0.247985 -1.70549 -4.23757 "2"
"37" "BZ2604" "M" "titia" "BZ26" 17.26 -88.79 "Roaring Creek in Guanacaste National Park" "Belize" "" "Carribbean" "Carribbean_Belize" "BZ26" "BZ26_Belize" "BZ26_Belize_Carribbean" 13.5454 27.9676 -0.0958591 -0.0633641 -0.910733 -2.7592 "2"
"38" "BZ3004" "M" "titia" "BZ30" 17.56 -88.52 "Belize River near Bermudian Landing" "Belize" "" "Carribbean" "Carribbean_Belize" "BZ30" "BZ30_Belize" "BZ30_Belize_Carribbean" 14.1656 27.7501 -0.000939918 0.106262 -1.578 -4.60477 "2"
"39" "BZ3005" "M" "titia" "BZ30" 17.56 -88.52 "Belize River near Bermudian Landing" "Belize" "" "Carribbean" "Carribbean_Belize" "BZ30" "BZ30_Belize" "BZ30_Belize_Carribbean" 14.2113 27.2029 0.00373518 0.287302 0.0369423 -2.95177 "2"
"40" "BZ3204" "M" "titia" "BZ32" 17.9 -88.85 "Rio Hondo at Booths River" "Belize" "" "Carribbean" "Carribbean_Belize" "BZ32" "BZ32_Belize" "BZ32_Belize_Carribbean" 15.0282 28.1509 0.0673634 0.127847 -0.00328473 -8.1431 "2"
"41" "BZ3205" "M" "titia" "BZ32" 17.9 -88.85 "Rio Hondo at Booths River" "Belize" "" "Carribbean" "Carribbean_Belize" "BZ32" "BZ32_Belize" "BZ32_Belize_Carribbean" 14.0749 27.2879 -0.22721 -0.0151431 -0.0460237 -5.46192 "2"
"42" "BZ3209" "F" "titia" "BZ32" 17.9 -88.85 "Rio Hondo at Booths River" "Belize" "" "Carribbean" "Carribbean_Belize" "BZ32" "BZ32_Belize" "BZ32_Belize_Carribbean" 14.4261 29.0896 -0.198889 -0.207365 0.327347 -6.61327 "2"
"43" "BZ4001" "M" "titia" "BZ40" 17.11 -88.66 "Sibon River from Hummingbird Highway" "Belize" "" "Carribbean" "Carribbean_Belize" "BZ40" "BZ40_Belize" "BZ40_Belize_Carribbean" 14.344 28.837 -0.0284152 0.250306 -0.502135 -9.25608 "2"
"44" "BZ4002" "M" "titia" "BZ40" 17.11 -88.66 "Sibon River from Hummingbird Highway" "Belize" "" "Carribbean" "Carribbean_Belize" "BZ40" "BZ40_Belize" "BZ40_Belize_Carribbean" 14.571 28.0171 -0.0826027 -0.0671776 0.137837 -3.33593 "2"
"45" "BZ4602" "M" "titia" "BZ46" 16.86 -89.04 "Macal River at Guacamallo Bridge" "Belize" "" "Carribbean" "Carribbean_Belize" "BZ46" "BZ46_Belize" "BZ46_Belize_Carribbean" 14.1415 28.5932 -0.0663789 0.113588 -1.05557 -5.94358 "2"
"46" "BZ4603" "M" "titia" "BZ46" 16.86 -89.04 "Macal River at Guacamallo Bridge" "Belize" "" "Carribbean" "Carribbean_Belize" "BZ46" "BZ46_Belize" "BZ46_Belize_Carribbean" 14.0159 27.4069 -0.292252 -0.27285 -0.464469 -6.47671 "2"
"47" "BZ4801" "M" "titia" "BZ48" 16.67 -88.45 "Tributary of Silver Creek in Santa Rosa" "Belize" "" "Carribbean" "Carribbean_Belize" "BZ48" "BZ48_Belize" "BZ48_Belize_Carribbean" 13.9902 27.3642 -0.162369 0.0829283 -0.327235 -2.47172 "2"
"48" "BZ4802" "M" "titia" "BZ48" 16.67 -88.45 "Tributary of Silver Creek in Santa Rosa" "Belize" "" "Carribbean" "Carribbean_Belize" "BZ48" "BZ48_Belize" "BZ48_Belize_Carribbean" 13.5207 26.2089 -0.00869194 0.421258 -0.780833 -1.38923 "2"
"49" "BZ4905" "M" "titia" "BZ49" 16.51 -88.48 "Big Creek, border of Toledo and Stan Creek districts" "Belize" "" "Carribbean" "Carribbean_Belize" "BZ49" "BZ49_Belize" "BZ49_Belize_Carribbean" 14.7741 29.0063 -0.262006 -0.171871 0.572373 -4.44933 "2"
"50" "BZ5001" "M" "titia" "BZ50" 16.45 -88.74 "Deep River from Thomas Vincente Ramos Highway near Medina Bank" "Belize" "" "Carribbean" "Carribbean_Belize" "BZ50" "BZ50_Belize" "BZ50_Belize_Carribbean" 14.6166 28.5397 -0.322929 -0.0389347 -0.991489 -1.83318 "2"
"51" "BZ5005" "M" "titia" "BZ50" 16.45 -88.74 "Deep River from Thomas Vincente Ramos Highway near Medina Bank" "Belize" "" "Carribbean" "Carribbean_Belize" "BZ50" "BZ50_Belize" "BZ50_Belize_Carribbean" 14.8213 28.9094 -0.292877 -0.0405771 -0.353822 -2.07903 "2"
"52" "BZ5206" "M" "titia" "BZ52" 16.15 -89.01 "Moho River from Santa Teresa Road" "Belize" "" "Carribbean" "Carribbean_Belize" "BZ52" "BZ52_Belize" "BZ52_Belize_Carribbean" 13.9963 27.6692 -0.0771254 -0.0206821 -1.52103 -3.8708 "2"
"53" "CA0103" "M" "titia" "CA01_CR" 9.76 -84.62 "Tarcolitos" "Costa Rica" "Puntarenas" "Pacific" "Pacific_Costa Rica" "CA_CR" "CA_CR_Costa Rica" "CA_CR_Costa Rica_Pacific" -61.1757 -2.30702 54.7988 2.61004 0.0874825 0.18925 "3"
"54" "CA0104" "M" "titia" "CA01_CR" 9.76 -84.62 "Tarcolitos" "Costa Rica" "Puntarenas" "Pacific" "Pacific_Costa Rica" "CA_CR" "CA_CR_Costa Rica" "CA_CR_Costa Rica_Pacific" -61.945 -2.44547 55.5212 2.36674 0.146239 0.08773 "3"
"55" "CUAJa01" "M" "titia" "CUAJ01" 16.79 -95.01 "" "Mexico" "Oaxaca" "Gulf" "Gulf_Mexico" "CUAJ" "CUAJ_Mexico" "CUAJ_Mexico_Gulf" 14.0619 27.4913 -0.126803 -0.158092 -1.2397 -4.3997 "2"
"56" "CUAJa02" "M" "titia" "CUAJ01" 16.79 -95.01 "" "Mexico" "Oaxaca" "Gulf" "Gulf_Mexico" "CUAJ" "CUAJ_Mexico" "CUAJ_Mexico_Gulf" -25.7856 11.9997 -7.70588 -13.5564 -0.0392537 -0.138413 "3"
"57" "CUAJa04" "M" "titia" "CUAJ01" 16.79 -95.01 "" "Mexico" "Oaxaca" "Gulf" "Gulf_Mexico" "CUAJ" "CUAJ_Mexico" "CUAJ_Mexico_Gulf" 15.0171 28.0711 -0.236732 0.0340821 -0.875465 -3.53726 "2"
"58" "CUAJb01" "M" "titia" "CUAJ02" 16.83 -95 "" "Mexico" "Oaxaca" "Gulf" "Gulf_Mexico" "CUAJ" "CUAJ_Mexico" "CUAJ_Mexico_Gulf" 12.0515 22.2287 0.214046 0.264607 -0.463872 -4.10278 "2"
"59" "CUAJb02" "M" "titia" "CUAJ02" 16.83 -95 "" "Mexico" "Oaxaca" "Gulf" "Gulf_Mexico" "CUAJ" "CUAJ_Mexico" "CUAJ_Mexico_Gulf" 14.7399 28.7569 0.173856 0.0789501 -0.732352 -3.84527 "2"
"60" "CUAJb03" "M" "titia" "CUAJ02" 16.83 -95 "" "Mexico" "Oaxaca" "Gulf" "Gulf_Mexico" "CUAJ" "CUAJ_Mexico" "CUAJ_Mexico_Gulf" 14.2656 26.0241 -0.0697794 0.30824 -0.303053 -2.92813 "2"
"61" "CUAJb04" "M" "titia" "CUAJ02" 16.83 -95 "" "Mexico" "Oaxaca" "Gulf" "Gulf_Mexico" "CUAJ" "CUAJ_Mexico" "CUAJ_Mexico_Gulf" 14.3722 27.5652 -0.259283 0.235246 -0.282947 -5.91357 "2"
"62" "CUAJb05" "M" "titia" "CUAJ02" 16.83 -95 "" "Mexico" "Oaxaca" "Gulf" "Gulf_Mexico" "CUAJ" "CUAJ_Mexico" "CUAJ_Mexico_Gulf" 14.166 26.2857 -0.281979 0.482361 -0.512776 -5.06921 "2"
"63" "CUAJb06" "M" "titia" "CUAJ02" 16.83 -95 "" "Mexico" "Oaxaca" "Gulf" "Gulf_Mexico" "CUAJ" "CUAJ_Mexico" "CUAJ_Mexico_Gulf" 14.3835 26.0721 -0.0603832 0.341637 0.0920363 -1.79736 "2"
"64" "CUAJb07" "M" "titia" "CUAJ02" 16.83 -95 "" "Mexico" "Oaxaca" "Gulf" "Gulf_Mexico" "CUAJ" "CUAJ_Mexico" "CUAJ_Mexico_Gulf" 14.2737 27.9474 -0.218454 0.133087 -0.0222889 -4.1577 "2"
"65" "CUAJb08" "M" "titia" "CUAJ02" 16.83 -95 "" "Mexico" "Oaxaca" "Gulf" "Gulf_Mexico" "CUAJ" "CUAJ_Mexico" "CUAJ_Mexico_Gulf" 12.8887 24.8523 0.235908 0.0900135 -0.753967 -5.12173 "2"
"66" "CUAJb09" "m" "titia" "CUAJ02" 16.83 -95 "" "Mexico" "Oaxaca" "Gulf" "Gulf_Mexico" "CUAJ" "CUAJ_Mexico" "CUAJ_Mexico_Gulf" 12.3875 24.5382 -0.314171 -0.0590173 0.686294 -6.55362 "2"
"67" "CUAJb10" "m" "titia" "CUAJ02" 16.83 -95 "" "Mexico" "Oaxaca" "Gulf" "Gulf_Mexico" "CUAJ" "CUAJ_Mexico" "CUAJ_Mexico_Gulf" 14.4076 28.7902 0.165473 0.0628889 -0.427549 -6.33942 "2"
"68" "CUAJb11" "m" "titia" "CUAJ02" 16.83 -95 "" "Mexico" "Oaxaca" "Gulf" "Gulf_Mexico" "CUAJ" "CUAJ_Mexico" "CUAJ_Mexico_Gulf" 14.9512 28.356 -0.27794 0.286616 -0.124031 -5.94417 "2"
"69" "CUAJb12" "m" "titia" "CUAJ02" 16.83 -95 "" "Mexico" "Oaxaca" "Gulf" "Gulf_Mexico" "CUAJ" "CUAJ_Mexico" "CUAJ_Mexico_Gulf" 14.3583 28.1012 -0.0238947 -0.117052 -0.927311 -2.20308 "2"
"70" "CUAJb14" "m" "titia" "CUAJ02" 16.83 -95 "" "Mexico" "Oaxaca" "Gulf" "Gulf_Mexico" "CUAJ" "CUAJ_Mexico" "CUAJ_Mexico_Gulf" 14.645 27.8219 0.323047 -0.204554 -0.458969 -4.00791 "2"
"71" "CUAJb15" "m" "titia" "CUAJ02" 16.83 -95 "" "Mexico" "Oaxaca" "Gulf" "Gulf_Mexico" "CUAJ" "CUAJ_Mexico" "CUAJ_Mexico_Gulf" 14.8698 28.3607 0.0225098 0.207675 0.151736 -5.54353 "2"
"72" "CUAJb16" "m" "titia" "CUAJ02" 16.83 -95 "" "Mexico" "Oaxaca" "Gulf" "Gulf_Mexico" "CUAJ" "CUAJ_Mexico" "CUAJ_Mexico_Gulf" 11.4763 22.1497 -0.165149 0.181099 0.291521 -3.28985 "2"
"73" "CUAJb17" "m" "titia" "CUAJ02" 16.83 -95 "" "Mexico" "Oaxaca" "Gulf" "Gulf_Mexico" "CUAJ" "CUAJ_Mexico" "CUAJ_Mexico_Gulf" 14.0715 26.1404 -0.20623 0.269036 0.431781 -0.660878 "2"
"74" "CUAJb18" "m" "titia" "CUAJ02" 16.83 -95 "" "Mexico" "Oaxaca" "Gulf" "Gulf_Mexico" "CUAJ" "CUAJ_Mexico" "CUAJ_Mexico_Gulf" 13.9805 26.778 -0.0646585 0.315737 0.0914498 -4.36284 "2"
"75" "CUAJb19" "m" "titia" "CUAJ02" 16.83 -95 "" "Mexico" "Oaxaca" "Gulf" "Gulf_Mexico" "CUAJ" "CUAJ_Mexico" "CUAJ_Mexico_Gulf" 11.8905 23.8178 0.325972 -0.219154 0.0523306 -2.70722 "2"
"76" "CUAJb20" "m" "titia" "CUAJ02" 16.83 -95 "" "Mexico" "Oaxaca" "Gulf" "Gulf_Mexico" "CUAJ" "CUAJ_Mexico" "CUAJ_Mexico_Gulf" 11.7447 23.1234 -0.168735 -0.143309 0.36012 -5.08502 "2"
"77" "CUAJb21" "m" "titia" "CUAJ02" 16.83 -95 "" "Mexico" "Oaxaca" "Gulf" "Gulf_Mexico" "CUAJ" "CUAJ_Mexico" "CUAJ_Mexico_Gulf" 14.0468 27.5103 0.10319 -0.127937 0.00533341 -7.92956 "2"
"78" "CVa02" "M" "titia" "CV" 29.33 -98.87 "Castroville" "United States" "Texas" "Gulf" "Gulf_United States" "CV" "CV_United States" "CV_United States_Gulf" 18.5495 -16.5866 -0.159284 -0.140622 12.929 0.133385 "1"
"79" "CVa03" "M" "titia" "CV" 29.33 -98.87 "Castroville" "United States" "Texas" "Gulf" "Gulf_United States" "CV" "CV_United States" "CV_United States_Gulf" 18.9407 -17.523 0.0275816 -0.179187 13.2687 -0.182069 "1"
"80" "CVa04" "M" "titia" "CV" 29.33 -98.87 "Castroville" "United States" "Texas" "Gulf" "Gulf_United States" "CV" "CV_United States" "CV_United States_Gulf" 18.9987 -17.2805 -0.0317842 -0.173294 14.4268 0.0121164 "1"
"81" "CVa08" "M" "titia" "CV" 29.33 -98.87 "Castroville" "United States" "Texas" "Gulf" "Gulf_United States" "CV" "CV_United States" "CV_United States_Gulf" 15.8553 -14.9377 -0.236074 -0.136907 11.0975 -0.0615185 "1"
"82" "CVa13" "M" "titia" "CV" 29.33 -98.87 "Castroville" "United States" "Texas" "Gulf" "Gulf_United States" "CV" "CV_United States" "CV_United States_Gulf" 18.7846 -16.7814 -0.135789 -0.273564 13.281 0.281618 "1"
"83" "CYa04" "M" "titia" "CY" 21.75 -98.96 "Rio Coy" "Mexico" "San Luis Potosí" "Gulf" "Gulf_Mexico" "CY" "CY_Mexico" "CY_Mexico_Gulf" 17.9341 -14.0566 -0.0116128 -0.368622 16.5659 -0.161087 "1"
"84" "CYa07" "F" "titia" "CY" 21.75 -98.96 "Rio Coy" "Mexico" "San Luis Potosí" "Gulf" "Gulf_Mexico" "CY" "CY_Mexico" "CY_Mexico_Gulf" 16.6971 -11.7841 -0.182649 -0.230307 13.6539 -0.250386 "1"
"85" "CYa10" "F" "titia" "CY" 21.75 -98.96 "Rio Coy" "Mexico" "San Luis Potosí" "Gulf" "Gulf_Mexico" "CY" "CY_Mexico" "CY_Mexico_Gulf" 15.1949 -11.2372 -0.193898 0.0135335 14.6918 0.0740403 "1"
"86" "CYa11" "F" "titia" "CY" 21.75 -98.96 "Rio Coy" "Mexico" "San Luis Potosí" "Gulf" "Gulf_Mexico" "CY" "CY_Mexico" "CY_Mexico_Gulf" 15.0375 -11.2808 -0.291044 -0.263265 13.8706 0.480041 "1"
"87" "ESRBa10" "M" "titia" "ESRB1" 9.72 -82.97 "Rio Bitey" "Costa Rica" "Limón" "Carribbean" "Carribbean_Costa Rica" "ESRB" "ESRB_Costa Rica" "ESRB_Costa Rica_Carribbean" 13.317 25.3377 0.0650666 -0.160757 0.0635076 23.0295 "2"
"88" "GA0203" "M" "titia" "GA02" 8.7 -83.19 "Gamba 2" "Costa Rica" "Puntarenas" "Pacific" "Pacific_Costa Rica" "GA" "GA_Costa Rica" "GA_Costa Rica_Pacific" -59.8749 -2.48984 58.7115 4.32849 -0.105416 -0.127286 "3"
"89" "GCJRa01" "M" "titia" "GCJR01" 37.67 -77.89 "Goochland County James River" "United States" "Virginia" "Atlantic" "Atlantic_United States" "GCJR" "GCJR_United States" "GCJR_United States_Atlantic" 18.6756 -18.9864 0.0253411 -0.119315 -8.62371 -0.21294 "1"
"90" "GCJRa02" "M" "titia" "GCJR01" 37.67 -77.89 "Goochland County James River" "United States" "Virginia" "Atlantic" "Atlantic_United States" "GCJR" "GCJR_United States" "GCJR_United States_Atlantic" 18.6758 -18.6635 0.0412232 0.0428648 -9.54771 0.0405044 "1"
"91" "GCJRa05" "M" "titia" "GCJR01" 37.67 -77.89 "Goochland County James River" "United States" "Virginia" "Atlantic" "Atlantic_United States" "GCJR" "GCJR_United States" "GCJR_United States_Atlantic" 19.02 -19.587 0.067376 -0.199038 -7.07832 0.0356472 "1"
"92" "GOa02" "M" "titia" "GO01" 8.64 -83.2 "Golfito" "Costa Rica" "Puntarenas" "Pacific" "Pacific_Costa Rica" "GO" "GO_Costa Rica" "GO_Costa Rica_Pacific" -61.1886 -2.39875 57.8129 4.34107 0.131752 0.173896 "3"
"93" "GOa07" "M" "titia" "GO01" 8.64 -83.2 "Golfito" "Costa Rica" "Puntarenas" "Pacific" "Pacific_Costa Rica" "GO" "GO_Costa Rica" "GO_Costa Rica_Pacific" -60.2602 -2.32165 55.7336 3.38334 0.0613715 0.137251 "3"
"94" "HCARa02" "M" "titia" "HCAR01" 27.88 -82.17 "Hillsborough County Alafia River" "United States" "Florida" "Gulf" "Gulf_United States" "HCAR" "HCAR_United States" "HCAR_United States_Gulf" 19.2034 -20.2113 -0.0836693 0.153169 -16.1814 0.410761 "1"
"95" "HCARa03" "F" "titia" "HCAR01" 27.88 -82.17 "Hillsborough County Alafia River" "United States" "Florida" "Gulf" "Gulf_United States" "HCAR" "HCAR_United States" "HCAR_United States_Gulf" 18.5651 -19.2501 0.0145606 -0.0660714 -13.9804 0.488248 "1"
"96" "HCARa05" "M" "titia" "HCAR01" 27.88 -82.17 "Hillsborough County Alafia River" "United States" "Florida" "Gulf" "Gulf_United States" "HCAR" "HCAR_United States" "HCAR_United States_Gulf" 19.0682 -20.2049 0.0196624 -0.000394717 -15.4646 0.423329 "1"
"97" "HCARb01" "M" "titia" "HCAR02" 27.87 -82.14 "Hillsborough County Alafia River" "United States" "Florida" "Gulf" "Gulf_United States" "HCAR" "HCAR_United States" "HCAR_United States_Gulf" 18.9436 -19.6053 0.00254375 -0.0151517 -14.1198 0.460373 "1"
"98" "HCARb02" "F" "titia" "HCAR02" 27.87 -82.14 "Hillsborough County Alafia River" "United States" "Florida" "Gulf" "Gulf_United States" "HCAR" "HCAR_United States" "HCAR_United States_Gulf" 19.1379 -19.6642 0.0168473 0.0449097 -14.0354 0.518942 "1"
